# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.4074005e-09	9.547279e-10	0.9795364	-2.0725773e-17	0.26627424
2.523689794874419e-12	1.0658384e-09	1.5143958e-09	0.9758621	-2.0712308e-17	0.25205547
5.000947741663241e-12	3.374469e-10	1.5802392e-09	0.9731457	-2.0690209e-17	0.24435793
7.523789992044082e-12	-3.292165e-10	1.4156308e-09	0.9714251	-2.066179e-17	0.24018098
1.0045530330894601e-11	-4.2798143e-10	1.3827093e-09	0.9710066	-2.0630594e-17	0.23909537
1.2517163548585219e-11	-1.2510226e-09	8.230412e-10	0.97197676	-2.060033e-17	0.2413314
1.5037680116798057e-11	-1.0534927e-09	1.6460824e-10	0.97430295	-2.057223e-17	0.24364021
1.750835075852221e-11	-2.6337318e-10	-3.950598e-10	0.97767687	-2.0549046e-17	0.25204685
2.002808240550328e-11	9.876495e-11	-1.975299e-10	0.9818897	-2.0531246e-17	0.27093017
2.254739060568838e-11	-2.6337318e-10	-1.3168659e-10	0.98639274	-2.0520894e-17	0.33423948
2.501711315312823e-11	-1.975299e-10	-1.1851794e-09	0.99039376	-2.0520093e-17	0.64259046
2.750845668336609e-11	5.349768e-10	-2.633732e-09	0.9930573	-2.0862608e-17	0.11467743
3.002862888956198e-11	2.9464875e-09	-1.9752988e-09	0.9935105	-2.0951269e-17	0.0888051
3.250221416472117e-11	4.1892796e-09	2.6337318e-10	0.99361926	-2.096725e-17	0.08880174
3.502415064619804e-11	3.5185013e-09	4.016441e-09	0.9937028	-2.097545e-17	0.08880241
3.754267251780287e-11	-1.1234512e-09	4.872404e-09	0.9937982	-2.0981254e-17	0.08880308
4.000864786541796e-11	-4.711911e-09	1.4485525e-09	0.993899	-2.0986553e-17	0.08880443
4.2525226721202424e-11	-3.234552e-09	-4.0822843e-09	0.9939835	-2.099143e-17	0.08879368
4.5043285191630654e-11	3.3415473e-09	-5.530837e-09	0.99404556	-2.0995202e-17	0.08881921
4.751183889608989e-11	6.9691013e-09	-6.5843296e-11	0.994097	-2.0997849e-17	0.08879636
5.002828833759593e-11	4.131667e-09	5.530837e-09	0.9941241	-2.0999803e-17	0.088813834
5.2544120155654544e-11	-2.2839395e-09	5.79421e-09	0.99416214	-2.1001408e-17	0.08882593
5.5011321517075596e-11	-5.4938e-09	-1.3168659e-10	0.99420035	-2.1002753e-17	0.08881249
5.7528710514042395e-11	-2.057603e-09	-5.79421e-09	0.9942075	-2.1003856e-17	0.08879973
6.00460280483799e-11	4.769524e-09	-5.069934e-09	0.9942067	-2.1004706e-17	0.08881787
6.25132768226031e-11	7.456753e-09	1.7119257e-09	0.9942336	-2.1005329e-17	0.088827945
6.502948518775254e-11	2.7036904e-09	6.847703e-09	0.99426377	-2.1005831e-17	0.08881653
6.754606238713837e-11	-4.4361923e-09	5.79421e-09	0.99426347	-2.1006238e-17	0.0888004
7.001375000570987e-11	-6.625482e-09	-1.5802392e-09	0.9942482	-2.1006551e-17	0.08880913
7.253079468077247e-11	-1.2016401e-09	-7.242763e-09	0.9942477	-2.1006801e-17	0.08880644
7.504743648681835e-11	6.5637535e-09	-4.4773443e-09	0.99426806	-2.1006988e-17	0.088819884
7.751451996479851e-11	8.045228e-09	3.1604783e-09	0.9942846	-2.1007132e-17	0.08881048
8.003114308115813e-11	1.6131608e-09	8.032882e-09	0.9942804	-2.1007248e-17	0.08880308
8.254802257899198e-11	-6.0452376e-09	4.609031e-09	0.99426705	-2.1007339e-17	0.08880644
8.501555618971903e-11	-6.670749e-09	-4.213971e-09	0.99426436	-2.1007411e-17	0.08880443
8.753223348308296e-11	6.3991457e-10	-8.9546885e-09	0.9942752	-2.1007463e-17	0.08881249
9.004881673772689e-11	8.586378e-09	-4.0822843e-09	0.9942852	-2.1007506e-17	0.08880712
9.251613008570259e-11	8.29214e-09	5.135777e-09	0.9942834	-2.1007542e-17	0.08880241
9.503292802711343e-11	-1.358018e-10	9.481435e-09	0.9942752	-2.1007567e-17	0.0888051
9.750039120538247e-11	-7.85387e-09	3.9505976e-09	0.9942724	-2.1007585e-17	0.08880308
1.0001707572205005e-10	-7.0431754e-09	-5.79421e-09	0.9942777	-2.1007603e-17	0.08880644
1.0253369804516341e-10	2.3312643e-09	-9.3497485e-09	0.99428314	-2.1007612e-17	0.0888051
1.0500103393071158e-10	1.018102e-08	-2.897105e-09	0.99428254	-2.1007625e-17	0.08880241
1.0751779217600012e-10	8.259218e-09	7.3744495e-09	0.99427825	-2.1007633e-17	0.08880375
1.1003456806563821e-10	-2.399165e-09	1.0534928e-08	0.99427634	-2.1007635e-17	0.08880308
1.1250192899682136e-10	-9.954683e-09	2.5020452e-09	0.99427885	-2.1007643e-17	0.08880375
1.1501858765409441e-10	-6.69544e-09	-8.296255e-09	0.9942818	-2.1007646e-17	0.08880308
1.175352845532683e-10	4.728372e-09	-1.0008181e-08	0.99428153	-2.1007646e-17	0.08880174
1.200026730064728e-10	1.1753029e-08	-7.901196e-10	0.9942793	-2.1007648e-17	0.08880174
1.2251941583319433e-10	6.6913253e-09	9.744808e-09	0.99427825	-2.1007653e-17	0.08880241
1.2503614967808734e-10	-5.1440074e-09	1.0271554e-08	0.9942795	-2.1007653e-17	0.08880375
1.275034777901979e-10	-1.1111056e-08	0	0.99428105	-2.1007655e-17	0.08880241
1.3002018131071548e-10	-4.7901e-09	-1.0666614e-08	0.9942809	-2.1007655e-17	0.08880174
1.325369104261545e-10	8.115187e-09	-1.0139868e-08	0.9942796	-2.1007658e-17	0.08880174
1.3500428847310375e-10	1.3658369e-08	1.8436124e-09	0.994279	-2.1007655e-17	0.08880174
1.375209922985329e-10	5.5020304e-09	1.2905287e-08	0.9942796	-2.1007656e-17	0.08880241
1.400376988809248e-10	-8.337407e-09	1.1061674e-08	0.9942805	-2.1007656e-17	0.08880241
1.4250505660531035e-10	-1.3539028e-08	-3.0287917e-09	0.9942806	-2.1007658e-17	0.08880174
1.4502177780836532e-10	-2.897105e-09	-1.4353839e-08	0.99427986	-2.1007658e-17	0.08880241
1.475384871507212e-10	1.2246853e-08	-9.876494e-09	0.9942795	-2.1007656e-17	0.08880174
1.500058512988139e-10	1.5164535e-08	5.0040905e-09	0.99427986	-2.1007656e-17	0.08880174
1.5252255647536933e-10	3.1440175e-09	1.580239e-08	0.9942803	-2.1007656e-17	0.08880241
1.5503926379616016e-10	-1.2205701e-08	1.0008181e-08	0.9942803	-2.1007655e-17	0.08880174
1.5750663089271491e-10	-1.4366185e-08	-6.847703e-09	0.9942799	-2.1007656e-17	0.08880174
1.6002335013840008e-10	-2.057603e-10	-1.698757e-08	0.9942796	-2.1007658e-17	0.08880174
1.625400607131748e-10	1.5781815e-08	-8.823002e-09	0.99427986	-2.100766e-17	0.08880241
1.6500742160575732e-10	1.607811e-08	8.823002e-09	0.9942801	-2.1007658e-17	0.08880174
1.6752413106662776e-10	1.0699536e-10	1.8436124e-08	0.9942802	-2.1007658e-17	0.08880241
1.7004084245322128e-10	-1.5897042e-08	8.296255e-09	0.9942799	-2.1007658e-17	0.08880174
1.7250821940272588e-10	-1.46501336e-08	-1.0798301e-08	0.99427986	-2.1007658e-17	0.08880241
1.7502492715610076e-10	3.1604783e-09	-1.8831184e-08	0.99427986	-2.1007658e-17	0.08880174
1.7754162858708728e-10	1.9004021e-08	-6.18927e-09	0.99428	-2.1007658e-17	0.08880241
1.8000899636060473e-10	1.5695395e-08	1.3432032e-08	0.99428004	-2.1007656e-17	0.08880174
1.8252571243328576e-10	-4.022614e-09	2.0148049e-08	0.99428	-2.1007658e-17	0.08880174
1.8504241860734922e-10	-1.9316778e-08	5.530837e-09	0.9942799	-2.100766e-17	0.08880241
1.8750977877279886e-10	-1.3415572e-08	-1.5670704e-08	0.9942799	-2.1007658e-17	0.08880174
1.9002649160138035e-10	8.061689e-09	-1.9752989e-08	0.99428004	-2.1007658e-17	0.08880241
1.9254320619572263e-10	2.2415527e-08	-2.5020452e-09	0.99428004	-2.1007658e-17	0.08880174
1.950105724926369e-10	1.3736558e-08	1.8041064e-08	0.99428004	-2.1007658e-17	0.08880241
1.9752727952322813e-10	-9.958799e-09	2.0806482e-08	0.9942799	-2.1007658e-17	0.08880241
2.0004398887239706e-10	-2.3110998e-08	5.2674637e-10	0.9942799	-2.1007656e-17	0.08880174
2.025113579190506e-10	-1.1504058e-08	-2.0806482e-08	0.99428004	-2.1007658e-17	0.08880174
2.0502806712937696e-10	1.3843553e-08	-2.0411422e-08	0.99428004	-2.1007656e-17	0.08880174
2.0754478082382896e-10	2.5827033e-08	2.2386721e-09	0.99428004	-2.1007658e-17	0.08880174
2.1001215196295452e-10	1.16048815e-08	2.3835273e-08	0.9942799	-2.1007656e-17	0.08880174
2.125288611371813e-10	-1.535795e-08	2.1201542e-08	0.99428004	-2.1007658e-17	0.08880241
2.15045567778836e-10	-2.5905223e-08	-4.3456576e-09	0.99428	-2.1007658e-17	0.08880174
2.1751292076619544e-10	-8.057573e-09	-2.5810573e-08	0.99428004	-2.1007658e-17	0.08880241
2.2002963875613068e-10	2.025916e-08	-2.0148049e-08	0.99428	-2.1007658e-17	0.08880174
2.225463579857396e-10	2.8613028e-08	8.559629e-09	0.9942799	-2.1007656e-17	0.08880174
2.2501372318011635e-10	7.537e-09	2.9366111e-08	0.9942799	-2.1007658e-17	0.08880241
2.275304321464721e-10	-2.228384e-08	2.0543109e-08	0.99428004	-2.1007658e-17	0.08880174
2.3004714694644697e-10	-2.8329078e-08	-1.1193361e-08	0.99428004	-2.1007655e-17	0.08880174
2.3251450889940048e-10	-3.4403123e-09	-3.1078038e-08	0.99428004	-2.1007658e-17	0.08880241
2.3503121600391954e-10	2.7148014e-08	-1.817275e-08	0.99428004	-2.1007658e-17	0.08880174
2.375479326597744e-10	3.0289975e-08	1.5670704e-08	0.99428004	-2.1007658e-17	0.08880107
2.40015302624e-10	1.8271515e-09	3.4370203e-08	0.99428004	-2.1007656e-17	0.08880174
2.4253200334857943e-10	-2.9242655e-08	1.7250944e-08	0.9942799	-2.1007658e-17	0.08880174
2.4504870844800185e-10	-2.8444305e-08	-1.896287e-08	0.99428004	-2.1007658e-17	0.08880174
2.475160778259526e-10	4.0040957e-09	-3.5292008e-08	0.99428004	-2.1007656e-17	0.08880174
2.500327937248003e-10	3.4427813e-08	-1.4090466e-08	0.99428	-2.1007658e-17	0.08880241
2.5250016605571947e-10	3.0032773e-08	2.35719e-08	0.9942799	-2.1007658e-17	0.08880241
2.550168677962189e-10	-6.3106684e-09	3.8057426e-08	0.99428	-2.1007658e-17	0.08880241
2.5753358368508933e-10	-3.6604757e-08	1.1720107e-08	0.99428004	-2.1007658e-17	0.08880174
2.6000094823771546e-10	-2.8246774e-08	-2.7785871e-08	0.99428004	-2.1007658e-17	0.08880107
2.625176574032783e-10	1.2032863e-08	-3.911092e-08	0.99428004	-2.1007658e-17	0.08880174
2.650343645385886e-10	4.158004e-08	-8.296255e-09	0.99428004	-2.1007658e-17	0.08880241
2.6750173175250037e-10	2.8292042e-08	3.2921648e-08	0.99428004	-2.1007658e-17	0.08880241
2.7001844952186136e-10	-1.5979346e-08	4.0427786e-08	0.99428	-2.1007658e-17	0.08880241
2.725351517784568e-10	-4.394217e-08	4.4773443e-09	0.99428004	-2.1007658e-17	0.08880107
2.750025140286122e-10	-2.4921688e-08	-3.753068e-08	0.99428	-2.1007656e-17	0.08880107
2.7751923121375093e-10	2.2501947e-08	-4.1217906e-08	0.99428004	-2.1007656e-17	0.08880241
2.800359432739443e-10	4.8324864e-08	5.2674637e-10	0.99428	-2.1007658e-17	0.08880241
2.825033033643027e-10	2.35719e-08	4.2798142e-08	0.99428004	-2.1007658e-17	0.08880241
2.8502001829449104e-10	-2.7127438e-08	4.1217906e-08	0.99428004	-2.1007658e-17	0.08880241
2.875367287920567e-10	-4.9888644e-08	-5.464994e-09	0.99428	-2.1007658e-17	0.08880107
2.900040941252283e-10	-1.9172745e-08	-4.793392e-08	0.99428004	-2.1007658e-17	0.08880174
2.9252080993729767e-10	3.4604767e-08	-4.0822844e-08	0.99428004	-2.1007658e-17	0.08880174
2.950375167887522e-10	5.400385e-08	1.1456733e-08	0.99428004	-2.1007658e-17	0.08880174
2.97504877715699e-10	1.7102796e-08	5.3201383e-08	0.99428004	-2.1007658e-17	0.08880308
3.0002158853592523e-10	-3.9543014e-08	3.990104e-08	0.99428004	-2.1007658e-17	0.08880241
3.025383000458773e-10	-5.4254876e-08	-1.7514317e-08	0.99428004	-2.1007658e-17	0.08880174
3.0500566446877457e-10	-1.0748918e-08	-5.767873e-08	0.99428004	-2.1007658e-17	0.08880107
3.0752237819712133e-10	4.771993e-08	-3.7398994e-08	0.99428	-2.1007658e-17	0.08880174
3.1003908674863407e-10	5.7073795e-08	2.5020453e-08	0.99428	-2.1007658e-17	0.08880174
3.125064579384647e-10	6.407376e-09	6.281451e-08	0.99428004	-2.1007658e-17	0.08880174
3.15023159969618e-10	-5.3407145e-08	3.5423692e-08	0.99428	-2.1007658e-17	0.08880174
3.1753988018208076e-10	-5.6600545e-08	-3.2131528e-08	0.99428004	-2.1007658e-17	0.08880174
3.200072480957878e-10	1.5473175e-09	-6.689679e-08	0.99428004	-2.1007658e-17	0.08880241
3.225239573071005e-10	6.168694e-08	-3.055129e-08	0.99428004	-2.1007658e-17	0.08880174
3.250406706918005e-10	5.7851565e-08	4.1086217e-08	0.99428004	-2.1007658e-17	0.08880174
3.275080239197372e-10	-7.33947e-09	7.137413e-08	0.99428004	-2.1007658e-17	0.08880174
3.300247349774929e-10	-6.755522e-08	2.6600691e-08	0.99428004	-2.1007658e-17	0.08880241
3.3254144903542926e-10	-5.5374212e-08	-4.8987413e-08	0.99428	-2.1007658e-17	0.08880107
3.350088234778193e-10	1.7637774e-08	-7.427124e-08	0.99428004	-2.1007658e-17	0.08880174
3.3752553175322344e-10	7.636382e-08	-2.0148049e-08	0.99428004	-2.1007658e-17	0.08880241
3.400422442268941e-10	5.511084e-08	5.8995596e-08	0.99428004	-2.1007658e-17	0.08880241
3.4250960568672e-10	-2.5020453e-08	7.86169e-08	0.9942799	-2.1007658e-17	0.08880241
3.4502631576955494e-10	-8.2127166e-08	1.3958779e-08	0.99428004	-2.1007656e-17	0.08880241
3.475430280147031e-10	-5.1226085e-08	-6.795028e-08	0.99428004	-2.1007658e-17	0.08880174
3.5001039133085895e-10	3.582287e-08	-8.0328824e-08	0.99428004	-2.1007658e-17	0.08880241
3.525271020658156e-10	8.966211e-08	-5.79421e-09	0.99428004	-2.1007658e-17	0.08880174
3.5504380811591765e-10	4.829606e-08	7.795846e-08	0.99428004	-2.1007658e-17	0.08880174
3.5751117105722784e-10	-4.55471e-08	8.0987256e-08	0.99428004	-2.1007658e-17	0.08880174
3.6002788509951777e-10	-9.446044e-08	-3.555538e-09	0.9942799	-2.1007656e-17	0.08880174
3.625445967817149e-10	-4.119527e-08	-8.74399e-08	0.99428004	-2.1007658e-17	0.08880107
3.650119596434594e-10	5.8505886e-08	-8.046051e-08	0.99428004	-2.1007658e-17	0.08880174
3.6752868092578037e-10	1.0168057e-07	1.4222152e-08	0.99428004	-2.1007658e-17	0.08880174
3.700453907222489e-10	3.6205584e-08	9.8238196e-08	0.99428004	-2.1007658e-17	0.08880241
3.725127633665083e-10	-6.962929e-08	8.072388e-08	0.9942799	-2.1007658e-17	0.08880174
3.7502946451361257e-10	-1.050859e-07	-2.55472e-08	0.99428004	-2.1007656e-17	0.08880174
3.7754618874419465e-10	-2.6312629e-08	-1.07719636e-07	0.99428004	-2.1007658e-17	0.08880174
3.8001353784930597e-10	8.3855554e-08	-7.690497e-08	0.99428004	-2.1007658e-17	0.08880174
3.825302564620489e-10	1.1004061e-07	3.897923e-08	0.99428004	-2.1007658e-17	0.08880174
3.8504696577625245e-10	1.7637774e-08	1.17464445e-07	0.99428004	-2.1007658e-17	0.08880241
3.8751432666197896e-10	-9.57485e-08	7.302022e-08	0.99428	-2.1007656e-17	0.08880241
3.9003104130307347e-10	-1.11118794e-07	-5.2806325e-08	0.99428004	-2.1007658e-17	0.08880174
3.925477572303482e-10	-4.2962753e-09	-1.2615575e-07	0.99428004	-2.1007658e-17	0.08880174
3.9501510689478324e-10	1.11155835e-07	-6.663342e-08	0.99428004	-2.1007658e-17	0.08880174
3.9753183080635903e-10	1.1359615e-07	6.847703e-08	0.99428	-2.1007658e-17	0.08880241
4.000485334656911e-10	-7.39091e-09	1.3471539e-07	0.99428004	-2.1007658e-17	0.08880174
4.025159028100769e-10	-1.2350556e-07	5.9258966e-08	0.99428004	-2.1007656e-17	0.08880174
4.050326174079702e-10	-1.1139863e-07	-8.467448e-08	0.99428004	-2.1007656e-17	0.08880174
4.075493199465203e-10	2.4571895e-08	-1.414314e-07	0.99428004	-2.1007658e-17	0.08880107
4.1001669120058104e-10	1.3951372e-07	-4.872404e-08	0.99428	-2.1007658e-17	0.08880107
4.125333978226488e-10	1.11118794e-07	1.02583854e-07	0.99428004	-2.1007658e-17	0.08880241
4.150007599742568e-10	-3.6232333e-08	1.4906922e-07	0.99428004	-2.1007658e-17	0.08880241
4.175174819269427e-10	-1.5175235e-07	3.7398994e-08	0.99428004	-2.1007658e-17	0.08880107
4.2003418637143736e-10	-1.04707304e-07	-1.1996649e-07	0.99428	-2.1007656e-17	0.08880174
4.225015540834879e-10	5.643388e-08	-1.5354657e-07	0.99428004	-2.1007658e-17	0.08880241
4.2501827232295725e-10	1.6662469e-07	-2.2123348e-08	0.99428004	-2.1007658e-17	0.08880174
4.275349736268075e-10	9.9793745e-08	1.3998284e-07	0.99428004	-2.1007656e-17	0.08880174
4.3000233269097084e-10	-7.5279466e-08	1.581556e-07	0.99428004	-2.1007658e-17	0.08880107
4.3251905617607087e-10	-1.7819254e-07	6.18927e-09	0.99428004	-2.1007658e-17	0.08880241
4.350357680978531e-10	-8.93761e-08	-1.5868234e-07	0.99428004	-2.1007658e-17	0.08880174
4.3750312695258615e-10	9.844396e-08	-1.5894572e-07	0.99428004	-2.1007658e-17	0.08880241
4.400198504130773e-10	1.9103403e-07	1.3432032e-08	0.99428004	-2.1007658e-17	0.08880241
4.4253655072415484e-10	7.92136e-08	1.7856702e-07	0.99428004	-2.1007658e-17	0.08880174
