# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.0411472e-09	5.2674637e-10	0.97953635	-2.0725775e-17	0.2662738
2.5393675356047694e-12	7.119306e-10	5.925897e-10	0.98739517	-2.0697237e-17	0.3065923
5.020181509687565e-12	5.432072e-10	0	0.98978406	-2.0671384e-17	0.36469382
7.548462455757439e-12	1.8929948e-10	-1.975299e-10	0.990889	-2.0661822e-17	0.4366703
1.0025891306129836e-11	4.2798143e-10	-5.2674637e-10	0.99156976	-2.0658012e-17	0.5092961
1.250264010662022e-11	2.9629485e-10	-3.950598e-10	0.99203837	-2.0655517e-17	0.5669075
1.502833056631726e-11	3.0452524e-10	-4.609031e-10	0.9923627	-2.0653565e-17	0.6115143
1.7503882389165937e-11	3.8682937e-10	-7.2427625e-10	0.992579	-2.0652223e-17	0.6453436
2.002851541015328e-11	3.950598e-10	-3.950598e-10	0.9927364	-2.0651393e-17	0.67334956
2.2503371759679728e-11	6.5843296e-11	1.3168659e-10	0.9928558	-2.065096e-17	0.6969704
2.502755663280039e-11	2.7983402e-10	-8.5596286e-10	0.9929578	-2.0650767e-17	0.71891457
2.7502096696766535e-11	1.2016401e-09	-1.1193361e-09	0.99304724	-2.065072e-17	0.7394999
3.002605132918605e-11	2.156368e-09	-5.2674637e-10	0.99313277	-2.0650769e-17	0.760496
3.250019848465681e-11	1.7119257e-09	2.6337318e-10	0.9932148	-2.0650885e-17	0.78194565
3.502354164264225e-11	6.4197214e-10	1.975299e-10	0.99329954	-2.0651069e-17	0.8057471
3.75468008924927e-11	1.4814742e-10	-1.3168659e-10	0.99338907	-2.0651347e-17	0.8329863
4.0020500824265e-11	2.1399071e-10	-2.6337318e-10	0.9934863	-2.0651745e-17	0.86546725
4.25435645413593e-11	2.3045155e-10	-2.7983402e-10	0.9936036	-2.0652379e-17	0.9094861
4.501709907614316e-11	5.925897e-10	-3.292165e-10	0.99375266	-2.0653497e-17	0.97584945
4.754009363654827e-11	1.4156308e-09	-9.547279e-10	0.99399275	-2.0656379e-17	1.1250476
5.003070831758979e-11	1.1851793e-08	-1.8633653e-08	0.9950771	-2.091528e-17	0.09165217
5.2545185509035234e-11	9.678964e-09	-4.938247e-09	0.9953588	-2.0957547e-17	0.091651514
5.502371016885447e-11	4.7901e-09	7.2427625e-10	0.9953807	-2.0959552e-17	0.09165217
5.7500310583613274e-11	1.5720087e-09	1.0534927e-09	0.9953833	-2.0959741e-17	0.091651514
6.002569144964447e-11	2.3045155e-10	6.58433e-10	0.9953836	-2.0959764e-17	0.09165217
6.250086425753724e-11	1.6460824e-10	0	0.9953836	-2.0959767e-17	0.09165217
