# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	8.1481083e-10	8.230412e-10	0.9795362	-2.0725775e-17	0.26627314
2.5315528656152253e-12	6.9135464e-10	1.2674835e-09	0.97044367	-2.0642347e-17	0.2479031
5.003693744973603e-12	1.8106906e-10	1.5473175e-09	0.96696234	-2.0509409e-17	0.23813911
7.52357586792317e-12	-3.2921648e-11	1.3744789e-09	0.96819896	-2.0416475e-17	0.23573259
1.0042712477693059e-11	-7.2427625e-10	1.876534e-09	0.9697582	-2.0400183e-17	0.23386565
1.2511358374219347e-11	-2.5678886e-09	1.2510226e-09	0.96814454	-2.0396472e-17	0.23545067
1.5028068417874215e-11	-2.8312617e-09	-2.1728288e-09	0.96379745	-2.0308778e-17	0.23611203
1.7543805466285418e-11	1.3827093e-09	-4.7407176e-09	0.9608782	-2.0084015e-17	0.24132316
2.000919099580024e-11	7.539057e-09	-9.218062e-10	0.9642665	-1.9763138e-17	0.25330904
2.252418048524611e-11	7.860043e-09	8.230412e-09	0.9735717	-1.9457134e-17	0.32017478
2.503997246768133e-11	-3.275704e-09	1.438676e-08	0.9781085	-1.9260207e-17	0.5835374
2.7506983306756506e-11	-1.7646004e-08	6.913546e-09	0.96476734	-1.9079389e-17	0.3408108
3.002381263493118e-11	-2.1530758e-08	-1.3695406e-08	0.9273822	-1.873467e-17	0.23213246
3.254028687314062e-11	5.2674637e-10	-3.6477186e-08	0.8714032	-1.7998395e-17	0.20217212
3.500540357816163e-11	4.727549e-08	-3.397514e-08	0.8066669	-1.6791722e-17	0.17622744
3.7519712361575824e-11	8.3489304e-08	1.8469045e-08	0.7444708	-1.501768e-17	0.2371367
4.003511598695085e-11	4.9810453e-08	1.0534927e-07	0.6838584	-1.2636689e-17	0.26304176
4.2505968791343674e-11	-5.198328e-08	1.5170296e-07	0.5811848	-9.752585e-18	0.2219166
4.5033693439933506e-11	-1.7013907e-07	1.3148906e-07	0.39979532	-6.13685e-18	0.1789841
4.75179549073481e-11	-2.5125803e-07	8.928351e-08	0.14379492	-2.9960281e-18	0.14904328
5.0007710374450795e-11	-2.4704406e-07	6.123427e-08	-0.14740059	-2.4607062e-18	0.16604683
5.2538770119907366e-11	-1.6250125e-07	6.847703e-09	-0.3975647	-3.9616496e-18	0.22426581
5.501899116908383e-11	-7.479799e-08	-4.134959e-08	-0.5789732	-6.3651354e-18	0.22389404
