# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.2551379e-09	5.7612887e-10	0.97953606	-2.0725775e-17	0.2662729
2.5190592970789053e-12	9.464974e-10	1.0205711e-09	0.9734021	-2.0700797e-17	0.24629864
5.0457673559828196e-12	1.2510226e-09	1.3333268e-09	0.96803546	-2.065193e-17	0.236484
7.51960720456823e-12	8.230412e-10	2.39505e-09	0.9641433	-2.0585065e-17	0.23236191
1.0042053449709798e-11	-4.609031e-10	3.2263217e-09	0.9621769	-2.0502651e-17	0.22994965
1.2514006471587663e-11	-1.9423774e-09	3.4896948e-09	0.9624673	-2.0412877e-17	0.22985497
1.503461563956424e-11	-3.6872247e-09	2.6995752e-09	0.96491325	-2.031384e-17	0.22975658
1.75052714350679e-11	-4.8065605e-09	1.1851794e-09	0.96902794	-2.0206636e-17	0.2296804
2.0024941723493272e-11	-6.288035e-09	-1.8436124e-09	0.9741293	-2.0078736e-17	0.2314589
2.2544333117692176e-11	-5.6625233e-09	-6.3209566e-09	0.97818047	-1.9917866e-17	0.23417564
2.5014154737706915e-11	-2.047315e-09	-1.0666614e-08	0.9764672	-1.9733024e-17	0.2190325
2.753321726685288e-11	4.1481276e-09	-1.158842e-08	0.9609378	-1.9641402e-17	0.20680101
3.0002755784042446e-11	9.481435e-09	-9.613121e-09	0.93048835	-1.9747913e-17	0.21954843
3.2521545288973506e-11	1.2707757e-08	-6.2551133e-09	0.89394295	-1.9917804e-17	0.23221096
3.5040291558373405e-11	1.2559609e-08	8.888845e-10	0.86426955	-2.0043367e-17	0.2311037
3.750961471627625e-11	1.1160439e-08	6.4526433e-09	0.84336793	-2.0125064e-17	0.21266335
4.002799963653315e-11	1.0551388e-08	9.654274e-09	0.8282145	-2.0171744e-17	0.20840625
4.254599768680319e-11	9.769499e-09	1.12098215e-08	0.8181737	-2.0189712e-17	0.2105049
4.501475474481249e-11	7.1357675e-09	1.2148089e-08	0.8124826	-2.0191355e-17	0.21302171
4.753295902226531e-11	3.9670587e-09	1.2115167e-08	0.81004435	-2.0186393e-17	0.21510056
5.000177824400914e-11	1.0041102e-09	1.0633692e-08	0.8101828	-2.0180672e-17	0.21588774
5.251994625974495e-11	-2.9629485e-10	8.806541e-09	0.8122997	-2.0176533e-17	0.21610105
5.503807591518791e-11	-1.0205711e-09	7.637823e-09	0.81578946	-2.017475e-17	0.21584155
5.7506826621894224e-11	-6.255113e-10	6.3261005e-09	0.8200433	-2.0175041e-17	0.2176746
6.002498023020198e-11	-2.1399071e-10	5.563759e-09	0.8249138	-2.0176877e-17	0.21821958
6.254312825917525e-11	3.292165e-10	4.5431876e-09	0.83007157	-2.017965e-17	0.21939786
6.501191123445955e-11	7.2427625e-10	4.213971e-09	0.83516026	-2.0182757e-17	0.2205811
6.753004546731247e-11	5.5966803e-10	3.7695287e-09	0.8401691	-2.0185864e-17	0.22097467
7.004818955218598e-11	1.8436124e-09	3.2921648e-09	0.8448676	-2.0188542e-17	0.22257048
