# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	4.794215e-10	1.3168659e-10	0.9955557	-1.2884941e-16	0.65438825
2.692190224909653e-12	3.4567732e-10	1.3168659e-10	0.9967271	-1.2885253e-16	0.8254819
5.196522976633436e-12	1.6460824e-10	1.3168659e-10	0.9972893	-1.2885106e-16	1.114908
7.518422907988175e-12	8.5596286e-10	1.7119257e-09	0.99761605	-1.2887852e-16	1.570681
1.006685289972109e-11	3.4567732e-10	5.79421e-09	0.99790335	-1.2911911e-16	0.159064
1.2713803036457031e-11	-8.662509e-10	2.0246813e-09	0.9978959	-1.2913327e-16	0.15900226
1.5142581100998523e-11	-3.971174e-10	4.938247e-10	0.99788696	-1.2913393e-16	0.15893787
1.7787770592320856e-11	-7.613131e-11	6.5843296e-11	0.9978921	-1.2913401e-16	0.15894127
2.0245502949783516e-11	2.3045155e-10	0	0.9979013	-1.2913401e-16	0.15894766
2.26089152829755e-11	4.053478e-10	1.3168659e-10	0.997907	-1.2913401e-16	0.15894616
2.503194242102229e-11	4.09463e-10	3.0864045e-10	0.99790776	-1.2913401e-16	0.15894578
2.771377230356305e-11	2.078179e-10	2.6337318e-10	0.997905	-1.29134e-16	0.15894844
3.0123524247488556e-11	2.098755e-10	0	0.9979024	-1.2913401e-16	0.15894277
3.251366957271057e-11	3.0452524e-10	0	0.9979013	-1.2913401e-16	0.15893824
3.5212861859835904e-11	1.8929948e-10	1.975299e-10	0.9979016	-1.2913401e-16	0.15893787
3.7604616345413835e-11	2.4896996e-10	6.5843296e-11	0.99790275	-1.29134e-16	0.15893902
4.0000181556342104e-11	2.1399071e-10	0	0.99790335	-1.29134e-16	0.15893902
4.2696163817533044e-11	3.2304368e-10	1.3168659e-10	0.9979034	-1.2913402e-16	0.15893939
4.5092231520342893e-11	3.0658284e-10	9.053453e-11	0.9979033	-1.2913401e-16	0.15893939
4.778678196520258e-11	4.3415424e-10	5.7612887e-11	0.9979029	-1.29134e-16	0.15893902
5.0182432841256515e-11	3.539077e-10	2.6337318e-10	0.9979028	-1.2913401e-16	0.15893824
5.257827342946335e-11	3.2098607e-10	3.7448375e-10	0.9979028	-1.2913401e-16	0.15893824
5.527047012605102e-11	2.3045155e-10	5.2674637e-10	0.9979029	-1.2913401e-16	0.15893902
5.7663894356864964e-11	2.4691237e-11	3.950598e-10	0.997903	-1.29134e-16	0.15893824
6.005568433958659e-11	1.1522577e-10	2.6337318e-10	0.997903	-1.2913401e-16	0.15893863
6.274862708437172e-11	4.2592382e-10	1.975299e-10	0.997903	-1.2913401e-16	0.15893824
6.514092296226648e-11	5.658408e-10	0	0.9979029	-1.2913401e-16	0.15893824
6.75344446140439e-11	5.8641686e-10	9.876495e-11	0.9979029	-1.2913401e-16	0.15893824
7.022607737920641e-11	5.884745e-10	2.8394923e-10	0.9979029	-1.29134e-16	0.15893824
7.26191995549778e-11	3.1892847e-10	3.292165e-10	0.9979029	-1.2913401e-16	0.15893824
7.501212037187922e-11	2.2016353e-10	2.6337318e-10	0.997903	-1.2913401e-16	0.15893787
7.770416396382783e-11	2.078179e-10	2.8394923e-10	0.997903	-1.2913401e-16	0.15893824
8.00969328302131e-11	2.2839394e-10	6.5843296e-11	0.9979029	-1.2913401e-16	0.15893824
8.278898325717881e-11	3.6419573e-10	1.6460824e-10	0.99790287	-1.2913401e-16	0.15893787
8.518180334033994e-11	3.4567732e-10	1.7695385e-10	0.9979029	-1.2913401e-16	0.15893787
8.757469766249053e-11	3.0452524e-10	3.539077e-10	0.997903	-1.2913401e-16	0.15893824
9.026649108569066e-11	2.2839394e-10	1.975299e-10	0.9979029	-1.2913401e-16	0.15893824
9.2659364011451e-11	1.8312667e-10	1.6460824e-10	0.9979029	-1.2913401e-16	0.15893902
9.505252122259928e-11	2.3868196e-10	6.172809e-11	0.9979029	-1.2913401e-16	0.15893824
9.774400528415943e-11	1.358018e-10	0	0.9979029	-1.2913401e-16	0.15893863
1.0013707592718831e-10	3.353893e-10	1.3168659e-10	0.9979029	-1.2913401e-16	0.15893824
1.0252971022249515e-10	3.6625333e-10	6.5843296e-11	0.9979029	-1.2913401e-16	0.15893787
1.0522168196996069e-10	4.5678789e-10	1.3168659e-10	0.997903	-1.2913401e-16	0.15893824
1.0761424777607329e-10	4.053478e-10	3.292165e-10	0.9979029	-1.2913401e-16	0.15893863
1.1000701549489418e-10	3.2304368e-10	1.3168659e-10	0.99790287	-1.2913401e-16	0.15893863
1.126988246117283e-10	1.7078106e-10	2.2633634e-10	0.997903	-1.2913401e-16	0.15893824
1.1509166545166394e-10	2.016451e-10	1.3168659e-10	0.9979029	-1.2913401e-16	0.15893863
1.1778313957369844e-10	1.4814742e-10	6.5843296e-11	0.9979029	-1.2913401e-16	0.15893824
1.2017613553022956e-10	1.4608982e-10	0	0.9979029	-1.2913401e-16	0.15893824
1.2256848202032164e-10	2.7983402e-10	-1.3168659e-10	0.997903	-1.2913401e-16	0.15893824
1.252605667675915e-10	5.349768e-10	6.5843296e-11	0.99790287	-1.2913401e-16	0.15893863
1.2765279214187257e-10	4.691335e-10	1.975299e-10	0.9979029	-1.2913401e-16	0.15893824
1.3004571371749693e-10	3.292165e-10	1.3168659e-10	0.9979029	-1.2913401e-16	0.15893824
1.327371786159226e-10	2.5720037e-10	1.3168659e-10	0.997903	-1.2913401e-16	0.15893787
1.3512993369207302e-10	1.995875e-10	6.5843296e-11	0.9979029	-1.2913401e-16	0.15893824
1.3752242559622186e-10	1.6255064e-10	2.6337318e-10	0.997903	-1.2913401e-16	0.15893824
1.4021428052835202e-10	2.3662436e-10	1.3168659e-10	0.99790287	-1.2913401e-16	0.15893824
1.4260686325552668e-10	3.6419573e-10	6.5843296e-11	0.9979029	-1.2913401e-16	0.15893863
1.4529845264692125e-10	3.4773492e-10	0	0.997903	-1.2913401e-16	0.15893824
1.476910714513292e-10	5.329192e-10	2.6337318e-10	0.9979029	-1.2913401e-16	0.15893787
1.500836273390071e-10	4.794215e-10	3.292165e-10	0.9979029	-1.2913401e-16	0.15893824
1.5277531545452593e-10	2.4896996e-10	2.6337318e-10	0.99790287	-1.2913401e-16	0.15893863
1.55167941549751e-10	2.3456675e-10	3.292165e-10	0.9979029	-1.2913401e-16	0.15893824
1.5756041388703692e-10	3.0452524e-10	0	0.997903	-1.2913401e-16	0.15893824
1.6025217898928337e-10	4.2798143e-10	2.6337318e-10	0.9979029	-1.2913401e-16	0.15893824
1.6264466382849674e-10	3.6213813e-10	3.2098607e-10	0.9979029	-1.2913401e-16	0.15893863
1.650373967290576e-10	2.8189162e-10	3.292165e-10	0.9979029	-1.2913401e-16	0.15893824
1.6772874343544768e-10	1.8929948e-10	1.3168659e-10	0.9979029	-1.2913401e-16	0.15893824
1.701215674501745e-10	2.9835245e-10	-6.5843296e-11	0.9979029	-1.2913401e-16	0.15893824
