# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	2.1541466e-10	3.2411013e-10	0.9952402	-1.2847277e-16	0.26547533
2.5070492512222134e-12	3.4519046e-10	3.267452e-10	0.9931591	-1.2840429e-16	0.23658168
5.024032958437802e-12	3.0039476e-10	5.629108e-10	0.9908095	-1.282304e-16	0.22453609
7.538276625605828e-12	3.16205e-11	9.802356e-10	0.9885855	-1.2792054e-16	0.22605613
1.0001236425231428e-11	-7.852424e-10	7.4308176e-10	0.98691577	-1.2745454e-16	0.23334089
1.251101752817489e-11	-1.0942011e-09	-8.2213303e-10	0.98567355	-1.2679477e-16	0.24137977
1.5020711131509126e-11	1.3438713e-09	-2.6034213e-09	0.98385656	-1.2590024e-16	0.245869
1.7530294230720572e-11	6.703546e-09	3.3728534e-10	0.9787112	-1.2463383e-16	0.261362
2.0039633293705564e-11	6.8049952e-09	1.2243722e-08	0.9636894	-1.222893e-16	0.32464495
2.250046890502973e-11	-2.5349103e-09	2.3789157e-08	0.92655826	-1.1855261e-16	0.40271473
2.500966192954921e-11	-2.884185e-08	2.5976242e-08	0.87613267	-1.1894235e-16	0.21440132
2.752022238501282e-11	-9.685886e-08	-1.5625798e-08	0.82150215	-1.1775361e-16	0.08981221
3.0034170495162395e-11	-6.051637e-08	-1.4591808e-07	0.75906414	-1.1530416e-16	0.08981022
3.250468225064251e-11	1.07045935e-07	-3.326266e-07	0.685705	-1.1339389e-16	0.08980689
3.503404174475141e-11	-1.3478765e-07	-5.4580147e-07	0.60171366	-1.1410587e-16	0.12260619
3.750913608264633e-11	-3.405528e-07	-4.4346237e-07	0.54795367	-1.162533e-16	0.13866426
4.003090518219359e-11	-2.2231848e-07	-3.1776892e-07	0.5285899	-1.1644464e-16	0.18552801
4.250227851015967e-11	-1.27204e-07	-3.328005e-07	0.5215356	-1.1630947e-16	0.216666
4.5022510828627214e-11	-7.735956e-08	-3.8274905e-07	0.51740843	-1.1641863e-16	0.23102355
4.7541936103994443e-11	-6.454403e-08	-4.0510375e-07	0.5137139	-1.1687649e-16	0.2356647
5.0011382258002305e-11	-8.178511e-08	-3.8863044e-07	0.5098283	-1.1753646e-16	0.2387004
5.2530006499620737e-11	-1.12308115e-07	-3.4537854e-07	0.5055893	-1.1823215e-16	0.24364045
5.504857879501788e-11	-1.3721717e-07	-2.9448898e-07	0.5012727	-1.1882865e-16	0.2468625
5.751769828622102e-11	-1.4671649e-07	-2.4859807e-07	0.49712718	-1.1928426e-16	0.24923877
6.003611871456483e-11	-1.4119871e-07	-2.0859287e-07	0.49306497	-1.196312e-16	0.24882813
6.250504402372041e-11	-1.2610914e-07	-1.7413542e-07	0.48926795	-1.1988147e-16	0.24681419
6.502328905651545e-11	-1.0626069e-07	-1.4349911e-07	0.4856057	-1.2006811e-16	0.24283764
6.754146966400367e-11	-8.541356e-08	-1.1579164e-07	0.4821837	-1.2020258e-16	0.23875159
7.001023883485247e-11	-6.671267e-08	-9.209998e-08	0.47908553	-1.2029628e-16	0.23530933
7.252835813985475e-11	-5.1457096e-08	-7.169158e-08	0.47620612	-1.2036292e-16	0.23291208
7.504648709523137e-11	-3.9038145e-08	-5.5546682e-08	0.4736196	-1.2040835e-16	0.23074406
7.751520467325458e-11	-2.9391256e-08	-4.3385963e-08	0.47136357	-1.2043829e-16	0.22845718
8.003328118858258e-11	-2.1425524e-08	-3.345449e-08	0.4693319	-1.2045853e-16	0.22771935
8.250198233944178e-11	-1.5457156e-08	-2.5949891e-08	0.467586	-1.2047138e-16	0.22669081
8.502003547797305e-11	-1.0640298e-08	-1.9941996e-08	0.4660377	-1.2047961e-16	0.22553724
8.753807689211596e-11	-7.0777224e-09	-1.513568e-08	0.46470487	-1.2048445e-16	0.224384
9.000674441782174e-11	-4.358359e-09	-1.1525673e-08	0.46358678	-1.2048694e-16	0.22392733
9.252474085173835e-11	-2.0026318e-09	-7.7786435e-09	0.46261802	-1.2048791e-16	0.22377616
9.504273830537385e-11	-3.5573064e-10	-3.8050003e-09	0.46180284	-1.2048784e-16	0.22356091
9.751136004678058e-11	-5.480887e-10	-1.1646885e-09	0.46113527	-1.2048718e-16	0.22332475
1.0002934724285788e-10	-1.2885354e-09	-6.798408e-10	0.4605715	-1.2048612e-16	0.22308645
1.0254731570796631e-10	-8.326732e-10	-1.2859004e-09	0.4601095	-1.2048494e-16	0.22287513
1.0501591230468577e-10	3.030298e-10	-8.7483387e-10	0.45974076	-1.2048371e-16	0.22268736
1.0753386547278653e-10	1.5335944e-09	3.16205e-10	0.45943707	-1.204825e-16	0.22252809
1.1000243176373905e-10	1.765478e-09	3.030298e-09	0.4591991	-1.2048138e-16	0.222403
1.1252037013248135e-10	7.9841767e-10	4.864287e-09	0.4590072	-1.2048036e-16	0.22229812
1.1503830178170969e-10	-2.1818145e-09	3.536226e-09	0.45885766	-1.2047948e-16	0.22221242
1.17506848465613e-10	-3.831351e-09	-1.1277979e-09	0.45874447	-1.2047871e-16	0.2221475
