# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	5.576104e-10	6.5843296e-11	0.9955562	-1.2884942e-16	0.65441144
2.7445932168028707e-12	6.4197214e-10	5.432072e-10	0.99183446	-1.286928e-16	0.5855838
5.178321505474019e-12	-1.3168659e-10	1.0534927e-09	0.98750424	-1.2826624e-16	0.55579376
7.503934137656915e-12	-1.4485525e-09	7.078154e-10	0.98300606	-1.2740944e-16	0.59527
1.0178759424771822e-11	-2.8312617e-09	-5.2674637e-10	0.97572166	-1.2540585e-16	0.6284978
1.2585612488540791e-11	-6.814781e-09	2.5020452e-09	0.95492446	-1.2288746e-16	0.5578093
1.5123921982111655e-11	-4.6221995e-08	-9.5472785e-09	0.9033459	-1.2218032e-16	0.35893527
1.771363825106797e-11	4.312736e-09	-1.3194997e-07	0.8409247	-1.1819171e-16	0.49251768
2.015330432023379e-11	4.0980868e-07	-6.7423535e-08	0.76979953	-1.1162536e-16	0.6889176
2.2533578199065916e-11	2.387478e-07	3.9624496e-07	0.70006067	-1.1647006e-16	0.4133115
2.5259723496106484e-11	-6.4230136e-07	-5.2733895e-07	0.64495856	-1.1404827e-16	0.43076712
2.7612233246956267e-11	-1.4338694e-06	1.5897864e-06	0.5788786	-1.10680134e-16	0.42271417
3.008331418293613e-11	-8.365391e-07	3.0620424e-06	0.52249	-1.1227791e-16	0.6130856
3.27722079678053e-11	5.0304277e-07	2.255742e-06	0.5027074	-1.1453249e-16	0.68624604
3.519049011488208e-11	1.0973444e-06	1.8267729e-06	0.49674603	-1.1637706e-16	0.7433221
3.757609739667091e-11	1.1971629e-06	1.4570463e-06	0.4929976	-1.178105e-16	0.74992484
4.028542083704622e-11	1.014925e-06	1.0083901e-06	0.4882452	-1.1899806e-16	0.7275871
4.267224752880911e-11	7.9631707e-07	6.4849064e-07	0.48342136	-1.1969403e-16	0.69764596
4.50752611563019e-11	6.0873776e-07	3.8511743e-07	0.4784132	-1.2013307e-16	0.6626684
4.7764122615375814e-11	4.5596482e-07	2.1827053e-07	0.47308347	-1.2041494e-16	0.6220453
5.016403082204671e-11	3.5163612e-07	1.5308567e-07	0.46877372	-1.2055431e-16	0.6067454
5.255545797702707e-11	2.6073945e-07	1.2852611e-07	0.46495804	-1.2063374e-16	0.5926595
5.525130200511511e-11	1.6875637e-07	1.1469903e-07	0.46122208	-1.2068375e-16	0.5767655
5.764254235438339e-11	1.00542714e-07	9.883079e-08	0.4583825	-1.2070823e-16	0.56828606
6.003693443612271e-11	4.9217864e-08	7.835352e-08	0.45595276	-1.2072181e-16	0.567833
6.272917236539595e-11	1.3292116e-08	5.3793975e-08	0.45367163	-1.20729e-16	0.5658047
